username,id,displayname,followersCount,friendsCount,location
MPLodha,1479387656,Mangal Prabhat Lodha,33522,287,"Mumbai, Maharashtra"
NalinSKohli,1150201302,Nalin Kohli,39568,132,"Delhi, India"
VasundharaBJP,1288175774,Vasundhara Raje,4726072,219,
JVSinghINC,2616817675,Jaivardhan Singh,247957,375,"Bhopal, Madhya Pradesh"
bhupendrasingho,725260382625894402,Bhuppendra Siingh,135719,129,"Sagar, India"
kanhaiyakumar,2584552812,Kanhaiya Kumar,3458344,116,"Patna and New Delhi, India"
iPankajShukla,285101065,Dr. Pankaj Shukla,250054,4088,Ahmedabad
devusinh,591850159,Devusinh Chauhan,60391,415,"Nadiad, Gujarat"
SarojPandeyBJP,1423007816,Saroj Pandey,116687,320,Durg/New Delhi
GVLNRAO,67802523,GVL Narasimha Rao,126369,53,INDIA
svaradarajan,21014078,Siddharth,658285,1451,"New Delhi, India"
AshaKumariINC,869520978480582658,Asha Kumari,35593,57,"Dalhousie, India"
AAPUttarPradesh,1101744014,Aam Aadmi Party- Uttar Pradesh,91947,181,Uttar Pradesh
SudhanshuBJP,171467534,Sudhanshu Mittal,49094,565,"New Delhi, India"
PreetiSMenon,988858957,Preeti Sharma Menon,110315,275,"Mumbai, India"
BJP4Odisha,1013243604,BJP Odisha,168038,303,Odisha
Barmer_Harish,1722765919,Harish Chaudhary,128601,106,"Barmer-Jaisalmer, Rajasthan"
vijaypathakbjp,218036286,Vijay Bahadur Pathak,67813,126,"Uttar Pradesh, India"
BJP4Bengal,2984417534,BJP Bengal,370620,155,"Kolkata, West Bengal"
ColAjayKothiyal,1384008958621356043,"Col Ajay Kothiyal, KC, SC, VSM (R.)",34117,5,Uttarakhand
jayanta_malla,141610194,Jayanta Mallabaruah,74977,105,"Assam, India"
bansidharbhagat,1211528429020971009,Bansidhar Bhagat,10095,138,
vijeshlunawat,408331737,Vijesh Lunawat,44456,947,Bhopal M.P.
SudhirParweMLA,746984421497020417,Sudhir Parwe 🇮🇳,18599,195,"Umred, Maharashtra"
KirronKherBJP,2395668313,Kirron Kher,428382,1248,"Chandigarh, New Delhi"
rekhaaryaoffice,889436485895598080,Rekha Arya,20407,272,"Dehradun, India"
INCUttarPradesh,1906974517,UP Congress,515505,556,"Uttar Pradesh, India."
vijaypalbjp,726392163660079104,Vijaypal Singh Tomar,9442,397,"New Delhi, India"
Gupta_vijender,1054143836,Vijender Gupta,163800,446,
Dattatreya,3261056648,Bandaru Dattatreya,72612,214,India
OfficeOfKNath,724205574565466112,Kamal Nath,1265466,85,"Madhya Pradesh, India"
TheAshokSinghal,145874163,Ashok Singhal,28598,323,"Guwahati, India"
IKJadejaBJP,416542960,I.K.JADEJA,182117,957,"GANDHINAGAR, GUJARAT "
harishrawatcmuk,2431635092,Harish Rawat,384397,1691,Uttarakhand 
KuldeepKumarAAP,3238709533,MLA Kuldeep Kumar,10777,642,"New Delhi, India"
Shabdsharanbjp,78920095,Shabdsharan Brahmbhatt,23558,398,
Bunty_Bhangdiya,2913325168,Bunty Bhangdiya (Kirti Kumar),2888,306,Chimur Nagpur Mumbai
UrsPMR,759002871836717057,Pydikondala Manikyala Rao,4851,943,Tadepalligudem
BJP4Tripura,758219083833831424,BJP Tripura,81070,149,"Tripura, India"
AmitChavdaINC,769522958486437888,Amit Chavda,85542,348,"Gujarat, India"
mukeshahlawatap,422075698,Mukesh Ahlawat,20315,406,"Sultanpur Majra , Delhi"
sanjaynirupam,20427494,Sanjay Nirupam,433685,1059,Mumbai
warispathan,2912585790,Waris Pathan,332014,495,Mumbai
ShakeelkhanINC,1157183368594743296,Dr. Shakeel Ahmad Khan,5352,62,"Katihar, India"
ArunSinghbjp,1921946424,Arun Singh,159048,139,Uttar Pradesh
ShyamSJaju,1552839182,Shyam Jaju,79969,177,
Aap_Praveen,2214539600,Praveen Kumar,24107,588,"Jangpura, New Delhi"
anupmajaisbjp,843386813171490817,Anupma Jaiswal,489081,31,"Lucknow, India"
SanjayTandonBJP,382812503,Sanjay Tandon 🇮🇳,28272,353,"Chandigarh, India"
INCMP,3257583379,MP Congress,1063044,232,"Bhopal, India"
BJP4Lakshadweep,753133585767489536,BJP Lakshadweep,43709,38,"Lakshadweep, India"
AnupamTrivedi26,56083718,Anupam Trivedi,1824,717,"Dehradun, India"
dpkBopanna,3241091575,Deepak Bopanna,6300,331,"Bengaluru, India"
RamaDeviBJP,258319519,RamaDevi,9089,149,New Delhi / Bihar
naqvimukhtar,287156977,Mukhtar Abbas Naqvi,1269831,390,India
PCMohanMP,2166444230,P C Mohan,91265,1458,Bengaluru
rajeshchudasma,748169877089726464,Rajesh Chudasama,28646,674,"Junagadh,Gujarat,India"
satpalsattibjp,726018260907360257,Satpal Singh Satti,49845,162,"Una, Himachal Pradesh"
BJP4DnNH,741176277592219648,BJP Dadra and Nagar Haveli & Daman and Diu,43160,36,"Dadra And Nagar Haveli, India"
BJP4Arunachal,1853325038,BJP ArunachalPradesh,61323,188,Itanagar
